"state","county","FIPS","dem_cand_votes_08","dem_percent_08","dem_cand_votes_12","dem_percent_12","dem_cand_votes_16","dem_percent_16"
"Kentucky","Cumberland",21057,697,24.9195566678584,599,20.9880868955851,459,14.9706457925636
"Kentucky","Fayette",21067,66042,51.7412389630129,62080,49.3222951392751,69778,51.1887906686718
"Kentucky","Fleming",21069,2279,39.0775034293553,1911,33.0508474576271,1348,21.5335463258786
"Kentucky","Greenup",21089,6621,41.9103684010634,6027,39.7349683544304,4146,25.4715242366529
"Kentucky","Knott",21119,2612,44.8797250859107,1420,24.9429123484982,1245,21.603331598126
"Kentucky","Madison",21151,12392,38.0858714694041,11512,34.5477462337195,11793,31.5565545476439
"Kentucky","Mercer",21167,3159,31.4015904572565,2966,29.8420364221753,2395,22.6263580538498
"Kentucky","Muhlenberg",21177,6221,48.265963224455,4771,37.451919302928,3272,25.0535987748851
"Kentucky","Oldham",21185,10000,34.1110656296903,9240,30.9195556150448,10268,31.2543755517
"Kentucky","Powell",21197,2065,41.532582461786,1620,36.1526444989958,1272,25.6606818640307
"Kentucky","Rowan",21205,4074,49.9632082413539,3438,44.853228962818,3295,37.2400542495479
"Kentucky","Shelby",21211,6871,37.0604099244876,6634,35.5462680169319,6276,30.4956268221574
"Kentucky","Todd",21219,1543,31.2284962558187,1403,29.7371767698177,1042,21.8037246285834
"Kentucky","Trimble",21223,1484,38.9296956977964,1355,38.2444256279989,879,23.1437598736177
"Louisiana","Bossier",22015,12701,27.7157072404312,12956,26.679296569334,12641,25.3590916385813
"Louisiana","Caldwell",22021,1118,22.8489679133456,1016,21.5436810856658,788,16.7945439045183
"Louisiana","East Baton Rouge",22033,99652,50.4953154057026,102656,51.8017267915083,102828,52.332167885552
"Louisiana","Franklin",22041,2959,31.626763574177,2921,31.2874892887746,2506,27.3521065269592
"Louisiana","Sabine",22085,2245,23.2594280978036,2194,21.8243310454591,1703,17.4006334934096
"Louisiana","St. Martin",22099,9419,38.8380339765792,9422,37.0463570951126,8266,32.1009708737864
"Maine","Kennebec",23011,37238,56.4331827963507,35068,55.2278060380805,29302,44.2574915418076
"Maine","Knox",23013,13728,59.7389033942559,13223,59.9220555580731,12443,53.7564263187454
"Maine","Lincoln",23015,11886,55.0685693106004,11315,54.5117309823192,10241,47.6259126633493
"Maine","Sagadahoc",23023,12152,57.0489648373316,11821,56.8481292680581,10664,49.3338267949667
"Maryland","Garrett",24023,3736,29.0242386575513,3124,23.7440145929923,2567,18.3213189636714
"Maryland","Montgomery",24031,314444,71.58477533858,323400,70.9222968824015,357837,74.724822656529
"Maryland","Worcester",24047,11374,41.5929203539823,11014,40.1677607585704,9753,34.4958087221024
"Massachusetts","Barnstable",25001,74264,56.1457624555833,70822,53.2036209292717,72430,54.1079619309438
"Massachusetts","Bristol",25005,146861,60.4067949983547,142962,59.1953094915717,129540,52.0326640129499
"Massachusetts","Essex",25009,208976,59.0886856205731,210302,57.4035708339134,222310,58.5229606073689
"Massachusetts","Franklin",25011,27919,72.4247062180601,27072,71.6987128555538,24478,64.1171385912984
"Michigan","Arenac",26011,4155,51.1195866141732,3669,46.7925009565106,2384,30.977130977131
"Michigan","Calhoun",26025,34561,53.83668764409,29267,50.1774478371938,24157,41.0121897388883
"Michigan","Kalamazoo",26077,77051,58.9160504966318,69051,56.0578999496663,67148,53.1658999675374
"Michigan","Macomb",26099,223784,53.3815503225068,208016,51.4781506906946,176317,42.049118556111
"Michigan","Mecosta",26107,9101,48.762323189027,7515,44.4332761780879,5827,33.9410531220876
"Michigan","Midland",26111,20701,47.3631226119386,17450,41.7924031230541,15635,36.783042394015
"Michigan","Missaukee",26113,2898,38.6812600106781,2274,32.360893695745,1565,21.3885472188055
"Michigan","Newaygo",26123,10790,46.6998485176369,8728,40.6369308129249,6212,27.4381625441696
"Michigan","Ottawa",26139,50828,37.3000264185282,42737,32.3001692968136,44973,31.5082601202236
"Michigan","St. Joseph",26149,12322,47.9417944128862,10112,43.3229081873099,7526,31.6790840594351
"Michigan","Schoolcraft",26153,2184,50.4854368932039,1865,46.0721343873518,1369,32.956186807896
"Michigan","Van Buren",26159,18588,53.466030029339,16290,49.6086731431008,13258,39.8449239646571
"Michigan","Washtenaw",26161,130578,69.784891644176,120890,67.3136888057374,128483,68.1325499262904
"Minnesota","Dakota",27037,116778,51.7926837922225,116255,50.3658679236291,110483,47.7372105081231
"Minnesota","Douglas",27041,9256,44.2489721770724,8653,41.2971889466902,6227,28.5838879963277
"Minnesota","Kanabec",27065,3743,44.0404753500412,3593,44.0858895705521,2327,28.4578696343402
"Minnesota","Lake",27075,4174,59.8938154685034,4043,59.2815249266862,3077,47.186014414967
"Minnesota","Lyon",27083,6110,48.0799496380233,5465,44.1152728446884,3825,31.3139582480557
"Minnesota","Nobles",27105,4244,48.1561329853625,3793,44.518779342723,2733,31.6612604263207
"Minnesota","Norman",27107,2129,61.9976703552708,1730,53.9444964140942,1264,38.7611162220178
"Minnesota","Pennington",27113,3394,49.7508062151862,3024,46.4017185821697,2147,31.9731943410276
"Minnesota","Pipestone",27117,2023,42.1370547802541,1725,37.1287128712871,1127,23.4400998336106
"Minnesota","Pope",27121,3317,50.749694002448,2981,47.7265449887928,2106,33.3280582370628
"Minnesota","Ramsey",27123,182974,65.9636751674562,184938,66.3283385098737,177738,65.0714094814804
"Minnesota","Renville",27129,3904,47.9901659496005,3394,44.0207522697795,2117,27.8332895082829
"Minnesota","Roseau",27135,3097,40.2207792207792,2772,37.7040261153428,1856,23.7826755509995
"Minnesota","Sherburne",27141,17957,39.9133140697933,17597,37.835687716356,13293,27.5314292815277
"Minnesota","Waseca",27161,4401,44.5084951456311,4370,44.8343079922027,2838,29.4001864705273
"Mississippi","Bolivar",28011,10334,67.4015131750587,10582,68.5895773917553,9046,65.4369212962963
"Mississippi","Calhoun",28013,2522,35.9720439309656,2586,36.5874363327674,1910,29.8624140087555
"Mississippi","Claiborne",28021,4682,85.9240227564691,4838,88.2202771699489,3708,86.7977528089888
"Mississippi","Copiah",28029,7710,53.3047566371681,7749,54.8679459038448,6741,51.9257433369281
"Mississippi","Covington",28031,3852,40.8787010506208,3878,41.484809584938,3276,37.1807967313585
"Mississippi","Grenada",28043,5029,44.4886765746638,5288,46.6519629466255,4424,42.0812327594407
"Mississippi","Jefferson Davis",28065,4454,60.5986394557823,4267,62.1649184149184,3720,59.6440596440596
"Mississippi","Leflore",28083,8914,68.1446372601483,9119,71.3927816487904,7787,69.9012567324955
"Mississippi","Lowndes",28087,13209,48.2309124767225,13388,49.296708152294,11819,46.2130987292278
"Mississippi","Pearl River",28109,4320,19.3496371943026,4366,19.6454283657307,3604,16.4694054745693
"Mississippi","Tate",28137,5003,39.2977770795696,4933,39.7630178945671,3926,33.7662337662338
"Mississippi","Tunica",28143,3279,75.8501040943789,3475,79.3016887266089,2667,74.7687132043734
"Mississippi","Yalobusha",28161,3151,46.331421849728,3030,47.6864966949953,2582,42.4880697712687
"Missouri","Adair",29001,5735,48.3110100244293,4219,41.6650207386925,3500,34.2264815177
"Missouri","Barton",29011,1455,24.4620040349697,1230,21.4061956143404,795,13.3860919346691
"Missouri","Chariton",29041,1799,42.6910299003322,1339,35.0431824129809,888,22.3733938019652
"Missouri","Clark",29045,1572,45.4861111111111,1398,43.3488372093023,724,22.5194401244168
"Missouri","Henry",29083,4869,43.6329420198943,3606,35.6218512298726,2357,23.8901277113318
"Missouri","Holt",29087,802,30.4595518420053,551,23.8528138528139,347,14.7346072186837
"Missouri","Howell",29091,5736,33.6837160138587,4395,26.8873118805824,2881,16.505299341163
"Missouri","Lafayette",29107,6902,41.578313253012,5655,35.8024691358025,4053,25.5291005291005
"Missouri","Lincoln",29113,10234,43.4564755838641,7734,34.1426805580081,5575,22.3339476003525
"Missouri","Madison",29123,2042,40.612569610183,1588,32.210953346856,1005,18.887427175343
"Missouri","Miller",29131,3553,30.8019072388383,2651,24.058444504946,1750,15.3293622985284
"Missouri","Platte",29165,21459,46.1682444061962,19175,42.0947488584475,20057,41.0289454842999
"Missouri","Putnam",29171,695,29.713552800342,587,25.4222607189259,353,15.0468883205456
"Missouri","St. Clair",29185,1886,37.8107457898957,1460,31.5607436230004,936,20.2159827213823
"Missouri","St. Louis County",29189,333123,59.5017629596288,297097,56.1964227617671,286704,55.6860338190336
"Missouri","Saline",29195,4712,47.8472786352559,3790,41.6117698726394,2789,30.0733232693552
"Missouri","Shelby",29205,1114,33.5946924004825,966,29.8886138613861,606,18.6175115207373
"Missouri","Webster",29225,5685,34.7578870139398,4409,28.576058072461,3177,18.9750940691632
"Missouri","St. Louis City",29510,132925,83.6753578667741,118780,82.7118455228506,104235,79.4528588089122
"Montana","Fergus",30027,1933,31.0173299101412,1640,27.0136715532861,1202,20.5821917808219
"Montana","Flathead",30029,16138,36.8919166057059,13892,31.9532615696016,13293,28.5435142041184
"Montana","Glacier",30035,3423,68.8593844296922,2924,65.6783468104223,3121,61.4975369458128
"Montana","McCone",30055,321,29.0235081374322,223,22.4572004028197,154,14.5283018867925
"Montana","Meagher",30059,298,30.8488612836439,269,27.6748971193416,193,19.7543500511771
"Montana","Missoula",30063,36531,61.8079994585815,32824,57.3926423275983,31543,53.2793946252724
"Montana","Powell",30077,1021,34.7278911564626,888,31.9884726224784,551,19.7208303507516
"Montana","Rosebud",30087,1919,50.3674540682415,1422,40.3633267101902,987,28.5838401390096
"Montana","Wheatland",30107,289,29.3997965412004,272,27.4193548387097,179,18.9217758985201
"Nebraska","Antelope",31003,757,23.7676609105181,571,17.6670792079208,383,11.6732703444072
"Nebraska","Banner",31007,62,14.9038461538462,55,13.38199513382,19,4.72636815920398
"Nebraska","Blaine",31009,43,13.6075949367089,29,9.57095709570957,30,9.46372239747634
"Nebraska","Buffalo",31019,5867,30.4099932618048,5365,27.5792936822084,4763,22.5424771640873
"Nebraska","Burt",31021,1413,41.718334809566,1291,38.2518518518519,930,26.1382799325464
"Nebraska","Cass",31025,4753,39.209701369411,4367,35.8538587848933,3484,26.9388386298616
"Nebraska","Frontier",31063,349,24.8575498575499,271,20.7662835249042,161,12.1234939759036
"Nebraska","Hamilton",31081,1332,27.7557824546781,1146,23.5269965099569,878,17.5459632294165
"Nebraska","Hooker",31091,75,17.1232876712329,59,14.9367088607595,40,9.59232613908873
"Nebraska","Keya Paha",31103,115,21.5759849906191,80,16.5289256198347,40,8.35073068893528
"Nebraska","Nance",31125,549,32.1616871704745,481,29.6730413325108,281,17.3349784083899
"Nebraska","Perkins",31135,310,21.830985915493,238,17.0731707317073,161,11.0652920962199
"Nebraska","Sherman",31163,585,37.2137404580153,552,36.078431372549,340,21.6147488874762
"Nebraska","Sioux",31165,117,15.9836065573771,101,13.6671177266576,81,11.0054347826087
"Nebraska","Thomas",31171,51,13.0769230769231,42,10.2941176470588,30,7.63358778625954
"Nebraska","Valley",31175,706,29.1374329343789,498,22.6879271070615,339,15.3741496598639
"Nebraska","Wayne",31179,1249,32.7993697478992,1074,29.1689299293862,835,22.1133474576271
"Nevada","Esmeralda",32009,104,23.6902050113895,92,21.1494252873563,65,15.3664302600473
"Nevada","Eureka",32011,144,19.3288590604027,107,13.2425742574257,74,8.66510538641686
"Nevada","Nye",32023,7226,41.3126750900463,6320,36.0689419016094,5094,25.9964276601174
"New Hampshire","Grafton",33009,31446,63.0306674684305,29826,60.8631772268136,28510,55.6933836025864
"New Jersey","Cape May",34009,22893,45.4397491117683,21657,45.1837015710083,18750,38.4836418866221
"New Jersey","Morris",34027,112275,45.798864359489,100146,44.0411272164368,115249,46.0230176985496
"New Jersey","Passaic",34031,113257,60.8267631957722,115926,63.6998043827065,116759,59.9372696378887
"New Jersey","Sussex",34037,28840,39.3236978456504,26104,38.4260963007669,24212,32.6633030245798
"New Mexico","Chaves",35005,8197,37.0703690303907,6604,32.5448452592155,5534,27.3000838636476
"New Mexico","De Baca",35011,359,34.3869731800766,287,31.8181818181818,193,21.2087912087912
"New Mexico","Sierra",35051,2352,42.8805834092981,1964,38.4947079576637,1612,31.1136846168693
"New York","Cattaraugus",36009,14307,43.9026635571376,12040,40.4474753922129,9497,30.4771990629312
